S,I,R
98,1,1
98,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
96,1,1
96,1,1
96,1,1
96,1,1
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
93,2,3
93,2,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
92,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,3,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
90,4,4
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
89,4,6
88,4,6
88,4,6
88,4,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
88,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,5,6
87,6,6
87,6,6
87,6,6
87,6,6
87,6,6
87,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,6
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
86,6,7
85,6,8
85,6,8
85,6,8
85,6,8
85,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,6,8
84,7,8
84,6,8
84,6,8
84,7,8
84,7,8
84,7,8
84,7,8
84,7,8
84,7,8
84,7,8
84,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,8
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
83,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,7,9
82,8,9
82,8,9
82,8,9
82,8,9
82,8,9
82,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,9
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
81,8,10
80,8,11
80,8,11
80,8,11
80,8,11
80,8,11
80,8,11
80,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,8,11
79,9,11
79,9,11
79,9,11
79,9,11
79,9,11
79,9,11
79,9,11
78,9,11
78,9,11
78,9,11
78,9,11
78,9,11
78,9,11
78,9,11
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
78,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,9,12
77,10,12
77,10,12
77,10,12
77,10,12
77,10,12
76,10,12
76,10,12
76,10,12
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
76,10,13
75,10,14
75,10,14
75,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,14
74,10,15
74,10,15
74,10,15
74,10,15
74,10,15
74,10,15
74,10,15
74,10,15
74,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,10,15
73,11,15
73,11,15
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
72,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,16
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
71,11,17
70,11,17
70,11,17
70,11,17
70,11,17
70,11,17
70,11,17
69,11,18
69,11,18
69,11,18
69,11,18
69,11,18
69,11,18
69,11,18
69,11,18
69,11,18
69,12,18
69,12,18
69,12,18
69,12,18
69,12,18
68,12,18
68,12,18
68,12,18
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
68,12,19
67,12,19
67,12,19
67,12,19
67,12,19
67,12,19
67,12,19
67,12,19
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
67,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,20
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
66,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,21
65,12,22
65,12,22
64,12,23
64,12,23
64,12,23
64,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,12,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
63,13,23
62,13,23
62,13,23
62,13,23
62,13,23
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
62,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,24
61,13,25
61,13,25
61,13,25
61,13,25
61,13,25
61,13,25
61,13,25
61,13,25
61,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,25
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
59,13,26
59,13,26
59,13,26
59,13,26
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,13,27
58,14,27
58,14,27
58,13,28
58,13,28
57,13,28
57,14,28
57,14,28
57,13,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
57,14,28
56,14,28
56,14,28
56,14,28
56,14,28
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
56,14,29
55,14,29
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
55,14,30
54,14,31
52,14,33
52,14,33
52,13,33
52,14,33
52,14,33
52,14,33
52,14,33
52,13,33
52,14,33
52,14,33
52,13,33
52,14,33
52,13,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
52,14,33
51,14,33
51,14,33
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,14,34
51,13,34
51,13,35
51,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,35
50,13,36
50,13,36
50,13,36
50,13,36
50,13,36
50,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
49,13,36
47,13,38
47,13,38
47,13,38
47,13,38
47,13,38
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
47,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,39
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
46,13,40
45,13,40
