S,I,R
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
92,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,5,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,6,3
90,6,3
89,6,3
89,6,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
89,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,7,3
88,8,3
88,8,3
88,8,3
87,8,3
87,8,3
87,8,3
87,8,3
87,8,3
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
