S,I,R
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
94,3,1
94,3,1
94,3,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
90,6,2
90,6,2
90,6,2
90,6,2
90,7,2
90,7,2
90,7,2
90,7,2
90,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,7,2
88,8,3
88,8,3
88,8,3
88,8,3
88,8,3
88,8,3
88,8,3
88,8,3
88,8,3
87,8,3
87,8,3
87,8,3
87,9,3
87,9,3
87,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,4
85,9,4
85,10,4
85,10,4
85,10,4
85,10,4
85,10,4
85,10,4
84,10,4
84,10,4
84,10,4
84,11,4
84,11,4
84,11,4
84,11,4
83,11,4
83,11,4
83,11,4
83,11,4
83,11,4
83,11,4
82,12,5
82,12,5
82,12,5
82,12,5
82,12,5
82,12,5
82,12,5
81,12,5
81,12,5
81,12,5
81,12,5
81,13,5
81,13,5
80,13,5
80,13,6
80,13,6
80,13,6
80,13,6
79,13,6
79,14,6
79,14,6
79,14,6
79,14,6
78,14,6
78,14,6
78,14,6
78,14,6
78,15,6
78,15,6
77,15,7
77,15,7
77,15,7
77,15,7
77,15,7
76,15,7
76,15,7
76,15,7
76,15,7
76,16,7
75,16,7
75,16,8
75,16,8
75,16,8
75,16,8
75,16,8
74,16,8
74,16,8
74,16,8
74,16,8
74,17,8
74,17,8
73,17,8
73,17,8
73,17,8
73,17,9
73,17,9
73,17,9
72,17,9
72,17,9
72,17,9
72,18,9
72,18,9
72,18,9
71,18,9
71,18,10
71,18,10
71,18,10
71,18,10
70,18,10
70,18,10
70,19,10
70,19,10
70,19,10
69,19,10
69,19,10
69,19,11
69,19,11
69,19,11
68,19,11
68,19,11
68,19,11
68,20,11
68,20,11
67,20,11
67,20,11
67,20,12
67,20,12
67,20,12
66,20,12
66,20,12
66,20,12
66,21,12
66,21,12
65,21,12
65,21,13
65,21,13
65,21,13
65,21,13
65,21,13
65,21,13
64,21,13
64,21,13
64,21,13
64,21,14
64,21,14
63,21,14
63,21,14
63,21,14
63,22,14
63,22,14
62,22,14
62,22,14
62,22,14
62,22,15
62,22,15
62,22,15
61,22,15
61,22,15
61,22,15
61,22,15
61,23,15
60,23,15
60,23,16
60,23,16
60,23,16
60,23,16
59,23,16
59,23,16
59,23,16
59,23,16
59,23,16
59,23,17
58,23,17
58,23,17
58,23,17
58,24,17
58,24,17
58,24,17
58,24,17
57,24,17
57,24,18
57,24,18
57,24,18
57,24,18
57,24,18
56,24,18
56,24,18
56,24,18
56,24,19
56,24,19
56,24,19
55,24,19
55,24,19
55,24,19
55,24,19
55,24,19
55,24,20
55,24,20
55,24,20
54,24,20
54,24,20
54,24,20
54,24,20
54,24,20
54,24,20
54,24,21
53,25,21
53,25,21
53,25,21
53,25,21
53,25,21
53,25,21
52,25,21
52,25,22
52,25,22
52,25,22
52,25,22
52,25,22
51,25,22
51,25,22
51,25,22
51,25,22
51,25,23
51,25,23
51,25,23
50,25,23
50,25,23
50,25,23
50,25,23
50,25,23
50,25,24
50,25,24
50,25,24
49,25,24
49,25,24
49,25,24
49,25,25
49,25,25
49,25,25
49,25,25
49,25,25
48,25,25
48,25,25
48,25,25
48,25,26
48,25,26
48,25,26
48,25,26
48,25,26
48,25,26
47,25,26
47,25,26
47,25,27
47,25,27
47,25,27
47,25,27
47,25,27
46,25,27
46,25,27
46,25,27
46,25,27
46,25,28
46,25,28
