S,I,R
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
71,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,6,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
70,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,7,22
69,8,22
69,8,22
68,8,22
68,8,22
68,8,22
68,8,22
68,8,22
68,8,22
68,8,22
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
68,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,8,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
67,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,23
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
66,9,24
65,9,24
65,9,24
65,9,24
65,9,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
65,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,24
64,10,25
63,10,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
63,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,11,25
62,12,25
62,12,25
62,12,25
62,12,25
62,12,25
62,12,25
62,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,25
61,12,26
61,12,26
61,12,26
61,12,26
61,12,26
61,12,26
61,12,26
61,12,26
61,12,26
60,12,26
60,12,26
60,12,26
60,12,26
60,12,26
60,12,26
60,12,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
60,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,13,26
59,14,26
59,14,26
59,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,26
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
58,14,27
57,14,27
57,14,27
57,14,27
57,14,27
57,14,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
57,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,15,27
56,16,27
56,16,27
56,16,27
56,16,27
56,16,27
56,16,27
56,16,27
55,16,27
55,16,27
55,16,27
55,16,27
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
55,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,16,28
54,17,28
54,17,28
54,17,28
54,17,28
54,17,28
54,17,28
54,17,28
54,17,28
54,17,28
53,17,28
53,17,28
53,17,28
53,17,28
53,17,28
53,17,28
53,17,28
53,17,28
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
53,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,17,29
52,18,29
52,18,29
52,18,29
52,18,29
51,18,29
51,18,29
51,18,29
51,18,29
51,18,29
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
51,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,30
50,18,31
50,18,31
49,18,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
49,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,31
48,19,32
48,19,32
48,19,32
48,19,32
48,19,32
48,19,32
48,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,19,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
47,20,32
46,20,32
46,20,32
46,20,32
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
46,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,33
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
45,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
44,20,34
43,21,34
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
43,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,35
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
42,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,36
41,21,37
41,21,37
41,21,37
40,21,37
40,21,37
40,21,37
40,22,37
40,21,37
40,21,37
40,21,37
40,21,37
40,21,37
40,22,37
40,21,37
40,21,37
40,21,37
40,21,37
40,22,37
40,22,37
40,22,37
40,22,37
40,22,37
40,22,37
40,22,37
40,22,37
40,21,37
40,21,37
40,21,37
40,21,38
40,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,21,38
39,22,38
39,21,38
39,21,38
39,22,38
39,21,38
39,22,38
39,22,38
39,22,38
39,22,38
39,22,38
39,22,38
38,22,38
38,22,38
38,22,38
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
38,22,39
37,22,39
37,22,39
37,22,39
37,22,39
37,22,39
37,22,39
37,22,39
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
37,22,40
36,22,40
36,22,40
36,22,40
36,22,40
36,22,40
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,22,41
36,21,41
36,21,41
36,21,41
36,21,41
36,21,41
36,21,41
36,21,41
36,22,41
36,22,41
35,22,41
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
35,22,42
34,22,42
34,22,42
34,22,42
34,22,42
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,22,43
34,21,43
34,21,43
34,21,43
34,22,43
34,22,43
34,21,43
34,21,43
34,21,43
34,21,43
34,21,43
34,21,43
34,21,44
34,21,44
34,21,44
34,21,44
34,21,44
34,21,44
34,21,44
34,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,44
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
33,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,45
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
32,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,46
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,21,47
31,20,48
30,20,48
30,21,48
30,21,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,48
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
30,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,49
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,20,50
29,19,50
29,19,50
29,19,50
29,19,50
29,19,50
29,19,50
29,19,50
29,19,50
29,19,51
29,19,51
29,19,51
29,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,51
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
28,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,52
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,19,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,53
27,18,54
