S,I,R
79,1,19
79,1,19
79,1,19
79,1,19
79,1,19
78,1,19
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,2,20
77,1,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,22
74,3,22
74,3,22
74,3,22
74,3,22
74,3,22
