S,I,R
99,1,0
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
94,4,0
94,4,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
91,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,9,0
90,9,0
90,9,0
90,9,0
90,9,0
90,9,0
90,9,0
90,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,10,0
89,10,0
89,10,0
89,10,0
89,10,0
88,10,0
88,10,0
88,10,0
88,10,0
88,10,0
88,10,0
88,11,0
88,11,0
88,11,0
88,11,0
88,11,0
88,11,0
87,11,0
87,11,0
87,11,0
87,11,0
87,11,0
87,12,0
87,12,0
87,12,0
87,12,0
87,12,0
86,12,0
86,12,0
86,12,0
86,12,0
86,13,0
86,13,0
86,13,0
86,13,0
86,13,0
85,13,0
85,13,0
85,13,0
85,13,0
85,13,0
85,14,0
85,14,0
84,14,0
84,14,0
84,14,0
84,14,0
84,14,0
84,15,0
83,15,0
83,15,0
83,15,0
83,15,0
83,15,0
83,16,0
83,16,0
82,16,0
82,16,0
82,16,0
82,16,0
82,16,0
82,16,0
82,17,0
82,17,0
82,17,0
81,17,0
81,17,0
81,17,0
81,17,0
81,17,0
81,17,0
81,18,0
80,18,0
80,18,0
80,18,0
80,18,0
80,18,0
80,18,1
80,18,1
79,19,1
79,19,1
79,19,1
79,19,1
79,19,1
79,19,1
78,20,1
78,20,1
78,20,1
78,20,1
78,20,1
78,20,1
77,20,1
77,21,1
77,21,1
77,21,1
77,21,1
77,21,1
76,22,1
76,22,1
76,22,1
76,22,1
76,22,1
75,22,1
75,23,1
75,23,1
75,23,1
75,23,1
74,23,1
74,24,1
74,24,1
74,24,1
74,24,1
73,24,1
73,24,1
73,25,1
73,25,1
73,25,1
73,25,1
72,25,1
72,25,1
72,26,1
72,26,1
72,26,1
72,26,1
71,26,1
71,26,1
71,26,1
71,27,1
71,27,1
70,27,1
70,27,1
70,27,1
70,28,1
70,28,1
69,28,1
69,28,1
69,28,1
69,29,1
69,29,1
68,29,1
68,29,1
68,29,1
68,29,1
68,30,1
67,30,1
67,30,1
67,30,1
67,30,1
67,30,1
67,31,1
66,31,1
66,31,1
66,31,1
66,31,1
66,31,1
65,32,1
65,32,1
65,32,2
65,32,2
65,32,2
65,32,2
64,33,2
64,33,2
64,33,2
64,33,2
63,34,2
63,34,2
63,34,2
63,34,2
63,34,2
62,34,2
62,35,2
62,35,2
62,35,2
62,35,2
61,35,2
61,36,2
61,36,2
61,36,2
61,36,2
60,36,2
60,36,2
60,37,2
60,37,2
60,37,2
59,37,2
59,37,2
59,38,2
59,38,2
58,38,2
58,38,2
58,39,2
58,39,2
57,39,2
57,39,2
57,39,2
57,40,2
57,40,2
56,40,2
56,40,2
56,40,2
