S,I,R
99,1,0
98,1,0
98,1,0
98,1,0
97,2,0
97,2,0
97,2,0
97,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,1
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,4,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,3,3
93,3,3
