S,I,R
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
93,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,6,0
92,7,0
92,7,0
92,7,0
92,7,0
92,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,7,0
91,8,0
91,8,0
91,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,8,0
90,9,0
90,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,9,0
89,10,0
88,10,0
88,10,0
88,10,0
88,10,0
88,10,1
88,10,1
88,10,1
88,10,1
88,10,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
87,11,1
86,11,1
86,12,1
86,12,1
86,12,1
86,12,1
86,12,1
86,12,1
86,12,1
85,12,1
85,12,1
85,13,1
85,13,1
85,13,1
85,13,1
85,13,1
85,13,1
84,13,1
84,13,1
84,13,1
84,13,1
84,14,1
84,14,1
84,14,1
84,14,1
83,14,1
83,14,1
83,14,1
83,14,1
83,14,1
83,15,1
83,15,1
83,15,1
83,15,1
82,15,1
82,15,1
82,15,1
82,15,1
82,15,1
82,15,1
82,15,1
82,16,1
82,16,1
81,16,1
81,16,1
81,16,1
81,16,1
81,16,1
81,16,1
81,16,1
81,16,1
80,17,2
80,17,2
80,17,2
80,17,2
80,17,2
80,17,2
79,17,2
79,18,2
79,18,2
79,18,2
79,18,2
79,18,2
79,18,2
79,18,2
78,18,2
78,18,2
78,19,2
78,19,2
78,19,2
78,19,2
78,19,2
77,19,2
77,19,2
77,19,2
77,20,2
77,20,2
77,20,2
76,20,2
76,20,2
76,20,2
76,21,2
76,21,2
76,21,2
75,21,2
75,21,2
75,21,2
75,22,2
75,22,2
75,22,2
74,22,2
74,22,2
74,22,2
74,22,2
74,22,2
74,23,2
73,23,2
73,23,2
73,23,2
73,23,2
73,23,2
73,23,3
72,23,3
72,24,3
72,24,3
72,24,3
72,24,3
72,24,3
72,24,3
71,24,3
71,25,3
71,25,3
71,25,3
71,25,3
71,25,3
70,25,3
70,25,3
70,26,3
70,26,3
70,26,3
70,26,3
69,26,3
69,26,3
69,26,3
69,27,3
69,27,3
68,27,3
68,27,3
68,27,3
68,27,3
68,28,3
68,28,3
67,28,3
67,28,3
67,28,3
67,28,3
67,28,3
67,28,3
67,29,3
66,29,3
66,29,3
66,29,3
66,29,3
66,29,3
65,30,3
65,30,4
65,30,4
65,30,4
65,30,4
64,30,4
64,31,4
64,31,4
64,31,4
64,31,4
63,31,4
63,31,4
63,32,4
63,32,4
63,32,4
63,32,4
63,32,4
62,32,4
62,32,4
62,33,4
62,33,4
62,33,4
61,33,4
61,33,4
61,33,4
61,33,4
61,34,4
60,34,4
60,34,4
60,34,4
60,34,4
60,34,4
59,35,4
59,35,4
59,35,4
59,35,4
59,35,5
